商品ID|商品名称|购入单价|购入日期|购入数量|购入花销
6|薯片|4|2022年07月05日|100|400
3|王老吉|3|2022年07月05日|10|30
3|王老吉|3|2022年07月05日|200|600
1|可乐|2|2022年07月05日|300|600
2|雪碧|2|2022年07月05日|1000|2000
6|薯片|4|2022年07月05日|1000|4000
5|海飞丝|12|2022年07月05日|1000|12000
6|可乐|2|2022年07月05日|400|800
1|雪碧|2|2022年07月05日|30|60
1|雪碧|2|2022年07月05日|100|200
1|可乐|2|2022年07月06日|456|912
2|尖叫|4|2022年07月07日|120|480
3|脉动|4|2022年07月07日|100|400
4|鲜橙多|2|2022年07月07日|100|200
5|雪花|1|2022年07月07日|400|400
6|青岛|1|2022年07月07日|100|100
7|长城葡萄酒|200|2022年07月07日|450|90000
8|上岛咖啡|6|2022年07月07日|100|600
9|飞鹤奶粉|22|2022年07月07日|400|8800
10|可比克薯片|2|2022年07月07日|400|800
11|盼盼糕点|8|2022年07月07日|45|360
12|阿尔卑斯糖果|4|2022年07月07日|100|400
13|金健大米|80|2022年07月07日|400|32000
14|五得利面粉|112|2022年07月07日|100|11200
15|鲫鱼|16|2022年07月07日|100|1600
16|双汇王中王|1|2022年07月07日|43|43
17|猪肉|10|2022年07月07日|49|490
18|汰渍洗衣液|28|2022年07月07日|400|11200
19|海飞丝洗发水|24|2022年07月07日|160|3840
20|得力剪刀|4|2022年07月07日|20|80
21|富士苹果|6|2022年07月07日|40|240
22|金龙鱼|98|2022年07月07日|40|3920
23|百事可乐|2|2022年07月07日|410|820
