商品ID|商品名称|出售日期|购入单价|零售单价|出售数量|销售额|净收入
1|可乐|2022年07月05日|2|3|100|300|100
2|雪碧|2022年07月05日|2|3|100|300|100
1|可乐|2022年07月05日|2|3|10|30|10
1|可乐|2022年07月05日|2|3|100|300|100
1|可乐|2022年07月05日|2|3|10|30|10
1|可乐|2022年07月05日|2|3|2|6|2
1|可乐|2022年07月05日|2|3|1|3|1
1|可乐|2022年07月05日|2|3|10|30|10
1|可乐|2022年07月05日|2|3|10|30|10
1|可乐|2022年07月05日|2|3|4|12|4
1|可乐|2022年07月05日|2|3|10|30|10
5|海飞丝|2022年07月05日|12|22|10|220|100
1|可乐|2022年07月05日|2|3|432|1296|432
1|雪碧|2022年07月05日|2|3|100|300|100
1|雪碧|2022年07月05日|2|3|2|6|2
1|雪碧|2022年07月06日|2|3|1|3|1
1|可乐|2022年07月06日|2|3|4|12|4
1|可乐|2022年07月06日|2|3|2|6|2
4|鲜橙多|2022年07月07日|2|3|1|3|1
