商品ID|商品名称|商品零售价格|商品进货价格|库存|商品类别号|供应商编号|是否上架
1|可口可乐|3|2|450|120015|1224|已上架
2|尖叫|5|4|120|120015|1224|已上架
3|脉动|5|4|100|120015|1224|已上架
4|鲜橙多|3|2|99|120015|1224|已上架
5|雪花啤酒|2|1|400|120014|1220|已上架
6|青岛啤酒|2|1|100|120014|1220|已上架
7|长城葡萄酒|320|200|450|120014|1220|未上架
8|上岛咖啡|28|6|100|120015|1226|已上架
9|飞鹤奶粉|30|22|400|120012|1226|已上架
10|可比克薯片|3|2|400|120010|1440|已上架
11|盼盼糕点|14|8|45|120010|1440|已上架
12|阿尔卑斯糖果|10|4|100|120010|1440|已上架
13|金健大米|120|80|400|120012|1222|已上架
14|五得利面粉|120|112|100|120012|1222|已上架
15|鲫鱼|24|16|100|120005|1230|已上架
16|双汇王中王|2|1|43|120011|1228|已上架
17|猪肉|18|10|49|120006|1230|已上架
18|汰渍洗衣液|38|28|400|120003|1002|已上架
19|海飞丝洗发水|32|24|160|120001|1002|已上架
20|得力剪刀|7|4|20|120004|1004|已上架
21|富士苹果|9.9|6|40|120007|1008|已上架
22|金龙鱼|128|98|40|120012|1000|已上架
23|百事可乐|3|2|410|120015|1224|已上架
